Percent Change Rating,Bullish or Bearish,Volume Rating,Volatility,Gains or Loses Tomorrow
1,Bearish,0,2,Gains
1,Bearish,0,3,Gains
1,Bullish,0,0,Gains
1,Bullish,0,3,Loses
1,Bullish,0,3,Gains
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,0,Loses
1,Bullish,0,3,Gains
1,Bullish,0,1,Gains
1,Bullish,0,3,Loses
1,Bullish,0,2,Loses
1,Bullish,0,1,Gains
1,Bullish,0,1,Loses
1,Bearish,0,2,Loses
1,Bullish,0,3,Loses
1,Bearish,0,2,Loses
1,Bearish,0,3,Loses
1,Bearish,0,2,Loses
1,Bearish,0,2,Loses
1,Bearish,0,3,Gains
1,Bearish,0,3,Gains
1,Bearish,0,3,Gains
1,Bearish,0,2,Gains
1,Bearish,0,3,Gains
1,Bearish,0,2,Gains
1,Bearish,0,2,Gains
1,Bearish,0,2,Gains
1,Bearish,0,0,Gains
1,Bearish,0,3,Gains
1,Bearish,0,2,Gains
1,Bearish,0,3,Gains
1,Bearish,0,2,Loses
1,Bearish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,3,Gains
1,Bullish,0,2,Loses
1,Bearish,0,3,Gains
1,Bearish,0,3,Gains
1,Bullish,0,2,Gains
1,Bullish,0,3,Gains
1,Bearish,0,3,Gains
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,1,Loses
1,Bearish,0,3,Gains
1,Bearish,0,3,Loses
1,Bearish,0,2,Loses
1,Bearish,0,2,Gains
1,Bearish,0,2,Gains
1,Bearish,0,3,Loses
1,Bearish,0,3,Gains
1,Bearish,0,1,Gains
1,Bearish,0,2,Gains
1,Bullish,0,2,Gains
1,Bearish,0,3,Gains
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,1,Loses
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,1,Loses
1,Bullish,0,3,Gains
1,Bearish,0,2,Gains
1,Bearish,0,3,Gains
1,Bullish,0,3,Loses
1,Bearish,0,3,Gains
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bearish,0,1,Gains
1,Bearish,0,2,Gains
1,Bearish,0,2,Gains
1,Bullish,0,1,Gains
1,Bullish,0,1,Gains
1,Bullish,0,0,Loses
1,Bearish,0,2,Gains
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bearish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bearish,0,1,Loses
1,Bearish,0,3,Gains
1,Bearish,0,3,Gains
1,Bearish,0,1,Gains
1,Bearish,0,3,Gains
1,Bearish,0,2,Gains
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bearish,0,2,Gains
1,Bearish,0,3,Gains
1,Bearish,0,0,Gains
1,Bearish,0,2,Gains
1,Bearish,0,3,Gains
1,Bullish,0,1,Loses
1,Bullish,0,3,Loses
1,Bearish,0,3,Loses
1,Bullish,0,1,Loses
1,Bearish,0,3,Loses
1,Bearish,0,2,Gains
1,Bearish,0,3,Gains
1,Bearish,0,0,Gains
1,Bearish,0,1,Gains
1,Bearish,0,1,Gains
1,Bullish,0,1,Gains
1,Bearish,0,0,Gains
1,Bullish,0,2,Gains
1,Bullish,0,2,Loses
1,Bearish,0,1,Loses
1,Bullish,0,1,Loses
1,Bullish,0,3,Loses
1,Bullish,0,2,Gains
1,Bearish,0,1,Gains
1,Bearish,0,2,Gains
1,Bullish,0,2,Gains
1,Bearish,0,3,Gains
1,Bullish,0,2,Loses
1,Bearish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,2,Loses
1,Bullish,0,2,Gains
1,Bearish,0,3,Gains
1,Bearish,0,3,Loses
1,Bearish,0,1,Gains
1,Bearish,0,0,Loses
1,Bullish,0,1,Loses
1,Bearish,0,3,Loses
1,Bearish,0,3,Gains
1,Bullish,0,3,Gains
1,Bearish,0,3,Loses
1,Bullish,0,2,Gains
1,Bearish,0,3,Gains
1,Bearish,0,2,Gains
1,Bullish,0,3,Loses
1,Bearish,0,3,Gains
1,Bullish,0,3,Loses
1,Bearish,0,2,Gains
1,Bearish,0,1,Gains
1,Bearish,0,2,Gains
1,Bearish,0,0,Gains
1,Bullish,0,2,Loses
1,Bullish,0,3,Gains
1,Bullish,0,1,Loses
1,Bearish,0,2,Loses
1,Bullish,0,0,Loses
1,Bearish,0,0,Gains
1,Bullish,0,2,Loses
